IrO1,IrO2
42.31,30.33
42.33,30.05
42.13,30.03
42.13,30.15
42.05,30.09
41.85,30.15
41.93,30.19
41.77,29.65
41.53,30.09
41.55,29.89
41.49,30.09
41.45,29.83
41.39,29.83
41.29,29.75
41.39,29.91
41.07,29.69
41.21,29.83
41.01,29.97
41.03,29.99
40.85,29.71
40.67,29.69
40.61,29.69
40.67,29.63
40.53,29.83
40.47,29.55
40.53,29.45
40.27,29.51
40.19,29.45
40.19,29.43
40.25,29.65
40.09,29.37
40.07,29.51
40.03,29.51
39.93,29.55
39.93,29.39
39.73,29.39
39.77,29.49
39.63,29.45
39.51,29.11
39.41,29.31
39.23,29.19
39.23,29.19
39.33,29.05
39.31,28.95
39.15,29.17
39.23,29.23
39.09,28.99
39.19,28.97
38.81,28.99
38.87,29.17
38.89,28.97
38.85,28.99
38.63,28.85
38.69,28.95
38.55,28.83
38.53,29.05
38.51,28.75
38.33,29.23
38.35,28.97
38.79,29.17
38.79,28.89
39.27,29.37
39.83,29.45
40.93,29.93
41.65,29.83
42.43,30.53
43.49,30.71
44.49,30.97
45.41,31.63
46.29,31.95
47.21,32.05
48.25,32.85
49.41,32.89
50.33,33.61
51.23,33.77
52.51,34.43
53.53,34.23
54.41,35.07
55.81,35.71
56.65,35.43
57.77,36.39
58.85,36.65
59.77,36.73
60.95,37.93
62.25,37.61
63.49,38.55
64.33,38.09
65.43,39.47
66.51,39.57
67.77,39.77
68.65,40.29
69.87,40.43
71.05,41.21
72.17,41.37
73.29,42.41
74.21,41.77
75.37,42.89
76.49,42.77
77.51,43.03
78.67,44.19
79.75,43.71
81.01,45.09
82.01,44.55
83.03,45.47
84.25,46.03
85.09,45.81
86.15,46.83
87.23,47.05
88.35,47.51
89.49,48.03
90.49,47.57
91.57,48.99
92.53,48.63
93.45,48.65
94.79,50.13
95.79,49.41
96.65,51.09
97.75,50.49
98.77,51.47
99.81,50.97
100.79,52.25
101.65,52.19
102.77,52.73
103.75,53.01
104.63,52.61
105.57,54.31
106.55,53.63
107.77,54.79
108.51,54.25
109.49,55.73
110.39,54.77
111.37,55.19
112.29,56.53
113.45,57.07
114.07,56.49
115.25,56.45
115.99,56.93
116.97,57.53
117.65,58.73
118.47,59.39
119.59,58.81
120.51,59.51
121.57,58.89
122.37,59.51
123.29,60.33
123.89,61.63
125.07,61.77
126.01,61.87
126.73,61.25
127.73,61.29
128.51,61.95
129.51,62.13
130.29,63.11
131.09,64.07
132.13,62.83
132.95,63.85
133.61,64.67
134.73,63.85
135.31,64.93
136.23,65.37
137.07,64.89
137.81,66.61
138.59,65.37
139.75,66.91
140.25,65.81
141.09,67.77
141.83,66.25
142.63,68.35
143.37,67.01
144.23,69.07
145.11,67.85
145.89,69.27
146.49,68.03
147.31,70.03
148.25,68.39
148.97,70.81
149.67,69.31
150.31,70.83
151.03,69.93
151.69,71.75
152.47,70.11
153.25,72.39
153.81,70.89
154.77,72.73
155.23,71.37
155.99,73.39
156.65,71.71
157.37,74.05
157.97,72.65
158.71,74.57
159.35,72.93
159.75,74.71
160.77,73.53
161.35,75.43
161.99,73.85
162.51,75.81
163.19,74.41
164.05,75.23
164.41,76.41
165.09,75.81
165.55,77.57
166.49,75.93
166.83,76.79
167.53,77.63
168.33,78.03
168.77,76.69
169.33,78.11
169.81,79.03
170.61,78.81
171.11,77.75
171.81,79.35
172.25,79.69
172.85,78.29
173.47,79.77
173.91,80.47
174.43,80.59
174.99,79.27
175.61,80.61
175.99,81.63
176.55,81.47
177.13,80.07
177.79,81.55
178.25,82.69
178.83,80.85
179.33,81.65
179.71,81.97
180.37,83.83
181.05,83.57
181.29,82.55
182.05,82.93
182.55,83.13
182.87,84.81
183.29,83.47
183.87,83.01
184.49,83.97
185.05,84.11
185.43,85.77
186.19,85.37
186.53,84.29
186.97,84.43
187.27,84.13
187.93,84.85
188.39,85.33
188.81,86.45
189.41,86.99
189.75,86.07
190.33,86.57
190.63,86.73
191.43,87.41
191.69,86.33
192.29,86.57
192.55,86.71
192.67,87.09
193.29,87.31
193.79,87.55
194.33,87.87
194.73,88.39
195.25,88.71
195.37,89.69
196.11,89.77
196.59,89.99
196.49,90.17
196.77,88.75
196.95,88.75
196.45,88.51
195.93,88.23
195.23,87.97
194.73,87.41
193.81,87.23
193.45,86.85
192.41,86.33
191.77,87.19
190.99,86.41
190.25,85.11
189.41,83.99
188.35,84.21
187.45,83.77
186.69,84.31
185.77,83.27
184.77,81.45
183.97,82.07
183.05,81.63
182.01,82.11
181.03,80.95
180.17,79.39
179.61,79.63
178.69,79.19
177.65,79.61
176.73,79.07
175.91,77.39
175.01,77.57
174.21,76.99
173.27,77.41
172.43,76.83
171.47,75.27
170.57,75.81
169.83,75.17
168.75,75.49
167.87,74.65
167.01,73.67
166.19,74.11
165.45,73.87
164.47,72.71
163.61,72.73
162.69,72.65
161.93,71.93
161.11,71.85
160.05,71.21
159.51,70.79
158.65,71.05
157.57,69.87
156.75,70.51
156.13,69.85
155.23,69.09
154.29,69.61
153.59,67.99
152.71,68.65
151.99,67.61
150.93,67.35
150.41,67.89
149.51,66.63
148.65,66.91
147.99,66.21
147.23,66.07
146.39,66.23
145.61,65.31
144.83,65.47
144.05,65.13
143.33,64.71
142.59,64.31
141.95,64.59
141.27,63.41
140.41,63.43
139.71,63.75
138.99,62.73
138.29,62.27
137.69,63.15
136.57,63.37
136.29,62.35
135.37,62.43
134.71,62.71
134.19,62.35
133.39,61.89
132.71,61.17
131.93,60.47
131.39,60.47
130.71,60.03
129.97,60.53
129.09,59.65
128.51,59.41
128.01,59.41
127.17,58.79
126.69,58.73
125.87,58.07
125.11,57.73
124.59,57.17
124.21,56.77
123.47,56.77
122.67,56.75
122.23,56.93
121.71,56.49
120.97,55.79
120.29,55.95
119.79,55.81
119.13,56.01
118.69,55.13
117.89,55.11
117.43,55.17
116.95,54.91
116.37,53.91
115.59,54.51
115.21,54.85
114.51,54.45
114.27,54.75
113.49,53.99
113.05,53.65
112.51,53.25
111.87,53.03
111.21,52.99
110.83,52.77
110.31,52.71
109.69,51.89
109.11,52.13
108.55,51.29
108.19,51.75
107.59,50.91
107.09,51.45
106.51,50.97
106.07,50.95
105.75,50.55
105.15,50.49
104.53,50.07
104.13,50.41
103.57,49.93
103.25,49.87
102.47,49.49
102.13,49.37
101.49,49.25
101.07,49.11
100.75,48.93
100.23,48.39
99.65,48.49
99.53,48.15
98.93,48.47
98.25,47.57
97.79,47.45
97.35,47.77
97.01,47.29
96.67,47.35
96.23,47.47
95.81,46.75
95.21,46.93
