ElapsedSeconds
0s, EnvH:48.84%, InH:0.00%, EnvT:23.23°C, InT:-45.00°C, IrA1:33.63°C, IrA2:28.91°C, IrO1:41.21°C, IrO2:28.91°C
138s, EnvH:47.93%, InH:31.95%, EnvT:23.44°C, InT:33.33°C, IrA1:45.61°C, IrA2:26.15°C, IrO1:155.97°C, IrO2:71.65°C
139s, EnvH:47.93%, InH:31.86%, EnvT:23.44°C, InT:33.41°C, IrA1:45.81°C, IrA2:26.11°C, IrO1:156.63°C, IrO2:70.69°C
140s, EnvH:47.93%, InH:31.79%, EnvT:23.42°C, InT:33.48°C, IrA1:46.03°C, IrA2:26.15°C, IrO1:157.39°C, IrO2:72.99°C
141s, EnvH:47.94%, InH:31.69%, EnvT:23.44°C, InT:33.56°C, IrA1:46.27°C, IrA2:26.19°C, IrO1:158.15°C, IrO2:72.07°C
142s, EnvH:47.94%, InH:31.60%, EnvT:23.44°C, InT:33.61°C, IrA1:46.45°C, IrA2:26.17°C, IrO1:158.53°C, IrO2:71.91°C
143s, EnvH:47.95%, InH:31.51%, EnvT:23.44°C, InT:33.67°C, IrA1:46.65°C, IrA2:26.19°C, IrO1:159.39°C, IrO2:72.91°C
144s, EnvH:47.96%, InH:31.40%, EnvT:23.42°C, InT:33.75°C, IrA1:46.87°C, IrA2:26.19°C, IrO1:160.11°C, IrO2:71.97°C
145s, EnvH:47.97%, InH:31.32%, EnvT:23.42°C, InT:33.80°C, IrA1:47.07°C, IrA2:26.19°C, IrO1:160.63°C, IrO2:74.25°C
146s, EnvH:47.99%, InH:31.22%, EnvT:23.44°C, InT:33.88°C, IrA1:47.33°C, IrA2:26.23°C, IrO1:161.29°C, IrO2:73.15°C
147s, EnvH:48.01%, InH:31.11%, EnvT:23.44°C, InT:33.99°C, IrA1:47.53°C, IrA2:26.23°C, IrO1:161.77°C, IrO2:73.47°C
148s, EnvH:48.03%, InH:31.01%, EnvT:23.44°C, InT:34.03°C, IrA1:47.75°C, IrA2:26.27°C, IrO1:162.69°C, IrO2:74.93°C
149s, EnvH:48.06%, InH:30.90%, EnvT:23.42°C, InT:34.05°C, IrA1:47.95°C, IrA2:26.27°C, IrO1:163.07°C, IrO2:73.83°C
150s, EnvH:48.08%, InH:30.81%, EnvT:23.42°C, InT:34.18°C, IrA1:48.19°C, IrA2:26.29°C, IrO1:163.69°C, IrO2:75.75°C
151s, EnvH:48.09%, InH:30.70%, EnvT:23.42°C, InT:34.20°C, IrA1:48.39°C, IrA2:26.29°C, IrO1:164.03°C, IrO2:73.85°C
152s, EnvH:48.11%, InH:30.63%, EnvT:23.42°C, InT:34.28°C, IrA1:48.61°C, IrA2:26.31°C, IrO1:165.07°C, IrO2:76.05°C
153s, EnvH:48.12%, InH:30.54%, EnvT:23.40°C, InT:34.35°C, IrA1:48.83°C, IrA2:26.31°C, IrO1:165.53°C, IrO2:74.39°C
154s, EnvH:48.13%, InH:30.43%, EnvT:23.40°C, InT:34.37°C, IrA1:49.01°C, IrA2:26.37°C, IrO1:166.15°C, IrO2:76.17°C
155s, EnvH:48.12%, InH:30.36%, EnvT:23.40°C, InT:34.47°C, IrA1:49.23°C, IrA2:26.37°C, IrO1:166.69°C, IrO2:75.23°C
156s, EnvH:48.13%, InH:30.27%, EnvT:23.40°C, InT:34.50°C, IrA1:49.41°C, IrA2:26.37°C, IrO1:167.31°C, IrO2:75.39°C
157s, EnvH:48.14%, InH:30.20%, EnvT:23.40°C, InT:34.58°C, IrA1:49.67°C, IrA2:26.41°C, IrO1:168.11°C, IrO2:77.47°C
158s, EnvH:48.16%, InH:30.12%, EnvT:23.40°C, InT:34.67°C, IrA1:49.87°C, IrA2:26.39°C, IrO1:168.69°C, IrO2:75.77°C
159s, EnvH:48.17%, InH:30.03%, EnvT:23.40°C, InT:34.73°C, IrA1:50.09°C, IrA2:26.43°C, IrO1:168.79°C, IrO2:77.23°C
160s, EnvH:48.18%, InH:29.95%, EnvT:23.40°C, InT:34.78°C, IrA1:50.37°C, IrA2:26.41°C, IrO1:169.69°C, IrO2:76.57°C
161s, EnvH:48.19%, InH:29.87%, EnvT:23.38°C, InT:34.84°C, IrA1:50.59°C, IrA2:26.45°C, IrO1:170.45°C, IrO2:77.15°C
162s, EnvH:48.21%, InH:29.79%, EnvT:23.40°C, InT:34.86°C, IrA1:50.75°C, IrA2:26.45°C, IrO1:170.67°C, IrO2:76.85°C
163s, EnvH:48.22%, InH:29.71%, EnvT:23.38°C, InT:34.90°C, IrA1:51.01°C, IrA2:26.47°C, IrO1:171.57°C, IrO2:78.79°C
