iteration;batch_number;stick_number;index_log;stick_weight;sugar_amount;iteration_since_maintenance;wait_time;cook_time;cooldown_time;start_temp;cook_temp;cooled_temp;duration_till_handover;duration_total;show_start_time;show_end_time;duration_cc_flow;diff_flow;diff_flow_stop;baseline_env_EnvH;baseline_env_EnvT;before_turn_on_env_InH;before_turn_on_env_InT;before_turn_on_env_IrO;before_turn_on_env_IrA;after_flow_start_env_InH;after_flow_start_env_InT;after_flow_start_env_IrO;after_flow_start_env_IrA;after_flow_end_env_InH;after_flow_end_env_InT;after_flow_end_env_IrO;after_flow_end_env_IrA;before_cooldown_env_InH;before_cooldown_env_InT;before_cooldown_env_IrO;before_cooldown_env_IrA;after_cooldown_env_InH;after_cooldown_env_InT;after_cooldown_env_IrO;after_cooldown_env_IrA;touch_pos1;touch_pos2;touch_pos3;max_pos1;max_pos2;max_pos3;cc_weight;quality_score;my_score;
39;8;1;63029;1.9;1;36;60.0;70.0;60.0;56.47;52.43;60.07;1247.18;1513.68;57:33;59:02;89.51;;;58.0;24.46;35.38;39.32;57.35;30.55;44.76;33.22;59.53;28.05;37.56;38.15;74.25;29.73;32.64;41.87;72.03;32.07;33.18;41.21;57.77;31.95;8.0;3.0;8.0;10.3;0.0;29.51;8.04;37.38;6;
40;8;2;63037;1.9;1;37;60.0;70.0;60.0;56.93;57.59;61.63;214.96;445.55;04:44;06:21;96.81;;;57.7;24.61;33.24;41.13;57.61;31.89;35.37;39.32;62.19;31.85;32.23;42.28;77.97;32.43;32.49;41.91;75.73;31.77;32.99;41.21;59.33;31.47;4.0;4.0;8.0;16.8;0.0;10.25;6.24;22.59;30;
41;8;3;63044;1.9;1;38;60.0;70.0;60.0;58.03;59.31;62.19;217.34;453.78;12:06;13:59;112.5;;;57.38;24.7;33.12;41.15;58.73;31.49;35.08;39.47;62.69;31.47;31.96;42.36;76.71;32.33;32.2;42.0;77.47;31.57;32.63;41.45;59.89;31.51;4.0;3.0;10.0;11.38;0.0;19.61;4.51;17.77;25;
42;8;4;63052;1.9;1;39;60.0;70.0;60.0;60.57;60.29;61.71;211.05;431.5;19:34;21:38;124.34;;;57.32;24.78;32.68;41.41;61.63;31.47;34.45;39.77;63.37;31.65;31.48;42.45;69.05;32.39;31.82;41.98;75.63;31.41;32.31;41.47;59.41;31.27;4.0;4.0;6.0;18.05;0.0;5.72;5.86;22.59;20;
43;8;5;63060;1.9;1;40;60.0;70.0;60.0;58.95;60.23;60.07;215.04;422.35;26:50;28:19;89.04;;;57.32;24.59;32.37;41.41;59.05;31.25;34.18;39.68;62.35;31.43;31.55;42.36;78.51;32.23;31.51;42.19;72.13;31.47;32.42;41.24;57.77;31.09;3.0;4.0;4.0;16.96;0.0;24.87;6.88;27.66;20;
44;9;0;63107;1.9;1;41;102.0;100.0;60.0;26.53;31.41;60.79;287.01;567.8;55:10;57:17;126.41;;;57.06;24.59;42.94;32.95;26.27;26.73;48.83;32.8;57.29;27.89;38.57;39.35;77.93;31.57;36.05;40.85;75.47;32.63;36.09;40.68;58.49;32.09;10.0;1.0;11.0;8.27;0.04;29.66;7.08;34.11;45;
45;9;1;63114;1.9;1;42;30.0;80.0;60.0;58.65;58.87;57.85;194.2;408.87;03:14;04:58;103.35;;;60.4;25.71;36.18;40.62;59.25;32.01;38.39;39.05;62.99;32.17;35.21;41.75;77.93;32.99;34.65;41.98;68.65;32.79;36.05;40.7;55.55;32.23;4.0;3.0;4.0;24.93;0.0;30.51;7.78;42.49;70;
46;9;2;63121;1.9;1;43;30.0;80.0;60.0;54.87;56.63;64.09;195.68;460.03;10:06;12:05;118.98;;;60.41;25.76;36.12;40.64;55.97;32.15;38.5;38.98;61.91;32.19;34.6;42.32;75.97;32.93;33.04;43.6;76.67;33.33;33.27;43.3;61.79;33.19;10.0;1.0;8.0;13.95;0.34;35.43;7.67;32.93;60;
47;9;3;63128;1.9;1;44;30.0;80.0;60.0;58.27;60.75;62.27;193.51;426.7;17:34;19:38;124.52;;;60.98;25.69;33.35;43.24;62.25;33.23;35.65;41.28;63.37;33.33;34.42;42.47;69.69;33.89;35.25;41.66;74.43;33.81;35.98;41.0;59.97;33.65;6.0;1.0;5.0;24.17;0.0;33.55;7.3;36.01;40;
48;9;4;63135;1.9;1;45;30.0;80.0;60.0;58.77;60.19;59.95;195.85;421.61;24:53;26:43;109.69;;;61.18;25.73;36.05;40.94;59.09;33.67;38.03;39.58;64.65;33.13;35.62;41.66;75.69;33.79;35.56;41.7;71.47;33.25;36.26;40.94;57.65;33.23;5.0;4.0;2.0;24.06;0.0;19.63;8.5;46.97;60;
